,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-01-02,1450.550048828125,1450.550048828125,1432.574951171875,1443.2249755859375,1315.08251953125,104490
1,2017-01-03,1443.5,1445.0,1425.5999755859375,1436.125,1308.613037109375,255186
2,2017-01-04,1445.0,1445.0,1415.2249755859375,1426.199951171875,1299.5692138671875,273358
3,2017-01-05,1431.0,1437.5,1426.300048828125,1432.9000244140625,1305.6741943359375,232668
4,2017-01-06,1432.5,1457.5,1422.9000244140625,1447.4749755859375,1318.9552001953125,795436
5,2017-01-09,1460.0,1461.1500244140625,1437.7750244140625,1448.949951171875,1320.2991943359375,344356
6,2017-01-10,1449.5,1451.5,1437.9749755859375,1440.4000244140625,1312.508544921875,546116
7,2017-01-11,1442.5,1492.5,1442.5,1485.050048828125,1353.1939697265625,691722
8,2017-01-12,1492.4749755859375,1497.4749755859375,1459.199951171875,1473.9000244140625,1343.033935546875,260102
9,2017-01-13,1484.5,1492.5,1462.5,1470.0,1339.480224609375,208658
10,2017-01-16,1467.5,1489.9000244140625,1461.5,1482.875,1351.2119140625,213010
11,2017-01-17,1484.3499755859375,1510.0999755859375,1477.550048828125,1506.7750244140625,1372.990234375,329502
12,2017-01-18,1509.0,1549.3499755859375,1507.449951171875,1545.7750244140625,1408.52734375,539226
13,2017-01-19,1545.5,1577.5,1533.375,1553.9749755859375,1415.999267578125,515150
14,2017-01-20,1558.949951171875,1567.550048828125,1532.050048828125,1539.1500244140625,1402.49072265625,225986
15,2017-01-23,1532.5999755859375,1557.5,1532.5999755859375,1546.550048828125,1409.2335205078125,144082
16,2017-01-24,1548.1500244140625,1575.25,1540.824951171875,1574.175048828125,1434.40576171875,303692
17,2017-01-25,1562.5,1574.0,1549.0,1567.449951171875,1428.277587890625,190016
18,2017-01-27,1567.0,1581.0,1545.5,1551.4749755859375,1413.72119140625,269430
19,2017-01-30,1564.0,1575.699951171875,1550.0999755859375,1572.8499755859375,1433.1983642578125,260542
20,2017-01-31,1575.0,1575.0,1554.5,1565.2249755859375,1426.2503662109375,309880
21,2017-02-01,1566.8499755859375,1624.9000244140625,1556.375,1617.375,1473.7701416015625,422574
22,2017-02-02,1620.0,1627.324951171875,1594.8499755859375,1615.5,1472.0615234375,461788
23,2017-02-03,1611.550048828125,1636.925048828125,1605.0,1615.425048828125,1471.9931640625,271328
24,2017-02-06,1615.425048828125,1647.199951171875,1615.425048828125,1642.5,1496.6641845703125,268304
25,2017-02-07,1645.0,1645.0,1605.0,1615.300048828125,1471.87939453125,227652
26,2017-02-08,1615.425048828125,1633.0999755859375,1596.0250244140625,1616.5,1472.9727783203125,258164
27,2017-02-09,1614.1500244140625,1627.324951171875,1602.6500244140625,1612.9749755859375,1469.7607421875,225518
28,2017-02-10,1615.5,1635.0,1611.625,1619.675048828125,1475.8658447265625,422206
29,2017-02-13,1622.5,1648.0,1611.050048828125,1635.8499755859375,1490.6044921875,403908
30,2017-02-14,1640.0,1640.0,1605.0999755859375,1612.2249755859375,1469.077392578125,376840
31,2017-02-15,1616.5,1621.5,1585.5,1597.175048828125,1455.3636474609375,272684
