Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,41.25,41.25,41.25,41.25,41.25,0
2010-01-04,41.25,41.25,41.25,41.25,41.25,0
2010-01-05,41.25,41.25,41.25,41.25,41.25,0
2010-01-06,41.25,41.25,41.25,41.25,41.25,0
2010-01-07,41.25,41.25,41.25,41.25,41.25,0
2010-01-08,41.25,41.25,41.25,41.25,41.25,0
2010-01-11,41.25,41.25,41.25,41.25,41.25,0
2010-01-12,41.25,41.25,41.25,41.25,41.25,0
2010-01-13,41.25,41.25,41.25,41.25,41.25,0
2010-01-14,41.25,41.25,41.25,41.25,41.25,0
2010-01-15,41.25,41.25,41.25,41.25,41.25,0
2010-01-19,41.25,41.25,41.25,41.25,41.25,0
2010-01-20,41.25,41.25,41.25,41.25,41.25,0
2010-01-21,41.25,41.25,41.25,41.25,41.25,0
2010-01-22,41.25,41.25,41.25,41.25,41.25,0
2010-01-25,41.25,41.25,41.25,41.25,41.25,0
2010-01-26,41.25,41.25,41.25,41.25,41.25,0
2010-01-27,41.25,41.25,41.25,41.25,41.25,0
2010-01-28,41.25,41.25,41.25,41.25,41.25,0
2010-01-29,41.25,41.25,41.25,41.25,41.25,0
2010-02-01,41.25,41.25,41.25,41.25,41.25,0
2010-02-02,41.25,41.25,41.25,41.25,41.25,0
2010-02-03,41.25,41.25,41.25,41.25,41.25,0
2010-02-04,41.25,41.25,41.25,41.25,41.25,0
2010-02-05,41.25,41.25,41.25,41.25,41.25,0
2010-02-08,41.25,41.25,41.25,41.25,41.25,0
2010-02-09,41.25,41.25,41.25,41.25,41.25,0
2010-02-10,41.25,41.25,41.25,41.25,41.25,0
2010-02-11,41.25,41.25,41.25,41.25,41.25,0
2010-02-12,41.25,41.25,41.25,41.25,41.25,0
2010-02-16,41.25,41.25,41.25,41.25,41.25,0
2010-02-17,41.25,41.25,41.25,41.25,41.25,0
2010-02-18,41.25,41.25,41.25,41.25,41.25,0
2010-02-19,41.25,41.25,41.25,41.25,41.25,0
2010-02-22,65.12999725341797,66.3499984741211,65.4000015258789,65.69000244140625,65.69000244140625,2287636
2010-02-23,65.69000244140625,66.19999694824219,65.0,65.45999908447266,65.45999908447266,1244560
2010-02-24,65.45999908447266,66.0,64.70999908447266,64.80000305175781,64.80000305175781,488622
2010-02-25,64.80000305175781,65.30000305175781,63.099998474121094,64.0999984741211,64.0999984741211,605179
2010-02-26,64.0999984741211,64.0999984741211,64.0999984741211,64.0999984741211,64.0999984741211,0
2010-03-01,64.05999755859375,64.05999755859375,60.86000061035156,63.08000183105469,63.08000183105469,1461783
2010-03-02,63.08000183105469,64.37999725341797,62.5099983215332,64.0,64.0,909581
2010-03-03,64.0,64.5,62.61000061035156,63.0,63.0,647148
2010-03-04,63.0,64.5,62.79999923706055,64.19000244140625,64.19000244140625,394633
2010-03-05,64.19000244140625,65.69000244140625,63.70000076293945,64.55999755859375,64.55999755859375,867559
2010-03-08,64.55999755859375,64.55999755859375,64.55999755859375,64.55999755859375,64.55999755859375,0
2010-03-09,64.55999755859375,67.05000305175781,64.25,66.80999755859375,66.80999755859375,3759720
2010-03-10,66.29000091552734,66.94999694824219,66.19999694824219,66.43000030517578,66.43000030517578,257037
2010-03-11,66.43000030517578,67.30000305175781,66.44999694824219,67.0199966430664,67.0199966430664,402525
2010-03-12,67.0199966430664,68.1500015258789,67.0,67.9800033569336,67.9800033569336,683124
2010-03-15,67.9800033569336,70.0,67.55000305175781,69.05000305175781,69.05000305175781,1996885
2010-03-16,60.5,62.220001220703125,60.29999923706055,60.66999816894531,60.66999816894531,811389
2010-03-17,60.66999816894531,61.0,59.400001525878906,59.650001525878906,59.650001525878906,927674
2010-03-18,59.650001525878906,60.5099983215332,59.61000061035156,60.0,60.0,514197
2010-03-19,60.0,60.0,60.0,60.0,60.0,0
2010-03-22,59.470001220703125,59.5,57.0099983215332,57.130001068115234,57.130001068115234,729895
2010-03-24,57.130001068115234,59.97999954223633,57.20000076293945,59.970001220703125,59.970001220703125,4085666
2010-03-25,59.970001220703125,60.84000015258789,58.70000076293945,58.939998626708984,58.939998626708984,1348650
