Date,High,Low,Open,Close,Volume
2022-01-03,8.4399995803833,8.0,8.0,8.0,87600
2022-01-04,8.199999809265137,7.960000038146973,8.0,8.0,34100
2022-01-05,8.199999809265137,8.0,8.119999885559082,8.119999885559082,30200
2022-01-06,8.199999809265137,8.199999809265137,8.199999809265137,8.199999809265137,4700
2022-01-07,8.199999809265137,8.199999809265137,8.199999809265137,8.199999809265137,4700
2022-01-10,8.199999809265137,8.140000343322754,8.15999984741211,8.15999984741211,11700
2022-01-11,8.4399995803833,8.199999809265137,8.260000228881836,8.260000228881836,23000
2022-01-12,8.4399995803833,8.199999809265137,8.260000228881836,8.260000228881836,23000
2022-01-13,8.5,8.199999809265137,8.359999656677246,8.359999656677246,11400
2022-01-14,8.399999618530273,8.260000228881836,8.34000015258789,8.34000015258789,3100
2022-01-18,8.399999618530273,8.199999809265137,8.199999809265137,8.399999618530273,11200
2022-01-19,8.300000190734863,8.199999809265137,8.199999809265137,8.199999809265137,2400
2022-01-20,8.300000190734863,8.199999809265137,8.300000190734863,8.300000190734863,10100
2022-01-21,8.300000190734863,8.300000190734863,8.300000190734863,8.300000190734863,0
2022-01-24,8.300000190734863,8.300000190734863,8.300000190734863,8.300000190734863,0
2022-01-25,8.300000190734863,820.0,8.199999809265137,8.199999809265137,11000
2022-01-26,8.300000190734863,8.15999984741211,8.15999984741211,8.300000190734863,7200
2022-01-27,8.199999809265137,7.900000095367432,8.039999961853027,8.039999961853027,30700
2022-01-28,8.100000381469727,8.0,8.0,8.100000381469727,5300
2022-01-31,8.0,7.900000095367432,7.980000019073486,7.980000019073486,21200
