,0
BAJFINANCE,57.92210027658447
NESTLEIND,50.41798590773401
DIVISLAB,43.74984308506825
HINDUNILVR,34.65103396632169
BAJAJFINSV,34.629218889745985
BRITANNIA,34.59027274200841
TCS,23.16591269969115
ASIANPAINT,22.560416313170233
TECHM,20.713164821429388
DRREDDY,19.743209222852567
